Collar,2020-04-15,2020-05-07,2020-05-21,2020-06-03,2020-06-19,2020-07-08
1,NA,3.88,3.824,15.82,NA,8.018
2,1.008,2.788,2.971,8.171,NA,7.844
3,1.624,1.874,2.45,13.045,NA,6.116
4,1.23,3.296,2.952,10.782,NA,7.212
5,2.037,2.943,5.572,18.678,NA,10.219
6,2.238,1.68,3.055,10.049,NA,8.763
7,2.333,2.431,2.793,13.642,NA,6.58
8,1.658,2.629,2.447,8.465,NA,7.404
9,1.98,2.022,3.446,22.406,NA,8.97
10,2.226,2.342,2.925,17.758,NA,2.215
11,1.992,0.83,2.481,7.862,NA,4.107
12,0.681,2.28,2.884,10.235,NA,5.82
13,1.714,NA,3.49,19.332,NA,NA
14,1.995,NA,3.603,15.735,NA,11.171
15,1.969,NA,2.189,16.867,NA,6.012
16,0.642,NA,0.992,NA,10.263,7.68
17,2.354,3.522,4.44,13.898,NA,11.526
18,1.47,1.942,2.897,7.409,NA,4.3
19,1.32,0.578,1.436,8.794,NA,1.123
20,0.902,2.574,1.746,11.061,NA,6.744
21,2.599,1.664,2.961,16.079,NA,7.106
22,1.908,1.709,3.122,20.831,NA,5.197
23,1.149,2.856,3.426,21.328,NA,6.343
24,1.673,2.282,2.588,16.012,NA,2.477
25,1.639,1.679,3.656,31.18,NA,5.84
26,1.069,1.52,2.099,5.468,NA,2.695
27,1.437,5.083,3.972,23.935,NA,3.395
28,2.252,3.324,3.65,76.669,NA,3.045
29,1.23,NA,6.923,12.658,NA,3.809
30,0.757,NA,1.454,5.336,NA,4.615
31,0.714,NA,1.531,4.994,NA,3.229
32,1.04,NA,1.735,4.444,NA,1.043
33,1.077,1.774,4.119,10.557,NA,2.695
35,1.294,1.754,1.312,15.979,NA,2.952
36,0.668,2.236,2.776,14.812,NA,1.877
37,1.276,1.8,4.467,15.461,NA,6.85
38,0.582,2.584,3.596,9.505,5.171,4.334
39,1.505,1.634,3.732,77.692,NA,6.617
40,0.647,0.632,2.688,22.006,3.428,4.307
41,1.183,NA,2.815,7.607,11.516,10.587
42,1.565,NA,2.749,11.985,5.086,6.491
43,0.912,NA,2.814,NA,NA,NA
44,1.265,NA,2.328,8.382,4.05,3.723
45,0.833,3.031,2.732,10.115,NA,4.286
46,2.774,5.244,4.666,17.576,NA,3.597
47,1.658,1.491,2.97,19.723,NA,3.616
48,0.992,2.538,3.84,10.512,NA,1.815
