"Years","ffi_emissions","daccs_uptake","luc_emissions"
2005,8.03171419618529,0,0.53568241880109
2006,8.25351360163488,0,0.563563737111717
2007,8.47531300708447,0,0.591445055422343
2008,8.69711241253406,0,0.61932637373297
2009,8.91891181798365,0,0.647207692043597
2010,9.14071122343324,0,0.675089010354224
2011,9.24002687792916,0,0.728039328010899
2012,9.33934253242507,0,0.780989645667575
2013,9.43865818692098,0,0.833939963324251
2014,9.53797384141689,0,0.886890280980926
2015,9.63728949591281,0,0.939840598637602
2016,9.90303187414714,0.00559303164032698,0.838730193133515
2017,10.1687742523815,0.011186063280654,0.737619787629428
2018,10.4345166306158,0.0167790949209809,0.636509382125341
2019,10.7002590088501,0.0223721265613079,0.535398976621253
2020,10.9660013870845,0.0279651582016349,0.434288571117166
2021,11.2810393855695,0.0437471316185286,0.410733233351499
2022,11.5960773840545,0.0595291050354223,0.387177895585831
2023,11.9111153825395,0.0753110784523161,0.363622557820164
2024,12.2261533810245,0.0910930518692098,0.340067220054496
2025,12.5411913795095,0.106875025286104,0.316511882288828
2026,12.9088754038202,0.123276380386921,0.335940528610354
2027,13.2765594281308,0.139677735487738,0.35536917493188
2028,13.6442434524414,0.156079090588556,0.374797821253406
2029,14.011927476752,0.172480445689373,0.394226467574932
2030,14.3796115010627,0.188881800790191,0.413655113896458
2031,14.763977844861,0.186468419792916,0.435130213787466
2032,15.1483441886594,0.18405503879564,0.456605313678474
2033,15.5327105324578,0.181641657798365,0.478080413569482
2034,15.9170768762561,0.17922827680109,0.49955551346049
2035,16.3014432200545,0.176814895803815,0.521030613351499
2036,15.1866894784959,1.24663939566213,0.898232636348774
2037,14.0719357369373,2.31646389552044,1.27543465934605
2038,12.9571819953787,3.38628839537875,1.65263668234332
2039,11.8424282538202,4.45611289523706,2.0298387053406
2040,10.7276745122616,5.52593739509537,2.40704072833787
2041,10.7330220065395,5.85232676675749,1.42888709411444
2042,10.7383695008174,6.17871613841962,0.450733459891008
2043,10.7437169950954,6.50510551008174,-0.527420174332425
2044,10.7490644893733,6.83149488174387,-1.50557380855586
2045,10.7544119836512,7.15788425340599,-2.48372744277929
2046,10.7411306519891,7.42119270681199,-2.60372831934605
2047,10.727849320327,7.68450116021798,-2.72372919591281
2048,10.7145679886649,7.94780961362398,-2.84373007247956
2049,10.7012866570027,8.21111806702997,-2.96373094904632
2050,10.6880053253406,8.47442652043597,-3.08373182561308
2051,10.6988454182561,8.67855486376022,-3.10006402234332
2052,10.7096855111717,8.88268320708447,-3.11639621907357
2053,10.7205256040872,9.08681155040872,-3.13272841580381
2054,10.7313656970027,9.29093989373297,-3.14906061253406
2055,10.7422057899183,9.49506823705722,-3.16539280926431
2056,10.7589906879564,9.65816864032698,-3.12642038583106
2057,10.7757755859946,9.82126904359673,-3.08744796239782
2058,10.7925604840327,9.98436944686648,-3.04847553896458
2059,10.8093453820708,10.1474698501362,-3.00950311553134
2060,10.826130280109,10.310570253406,-2.97053069209809
2061,10.8454381134496,10.4384441536785,-2.9076418027248
2062,10.8647459467902,10.566318053951,-2.8447529133515
2063,10.8840537801308,10.6941919542234,-2.7818640239782
2064,10.9033616134714,10.8220658544959,-2.7189751346049
2065,10.922669446812,10.9499397547684,-2.65608624523161
2066,10.9546189597384,11.139268520436,-2.47016693749319
2067,10.9865684726648,11.3285972861035,-2.28424762975477
2068,11.0185179855913,11.5179260517711,-2.09832832201635
2069,11.0504674985177,11.7072548174387,-1.91240901427793
2070,11.0824170114441,11.8965835831063,-1.72648970653951
2071,11.0398864108992,12.0139060294278,-1.63062504119891
2072,10.9973558103542,12.1312284757493,-1.53476037585831
2073,10.9548252098093,12.2485509220708,-1.43889571051771
2074,10.9122946092643,12.3658733683924,-1.34303104517711
2075,10.8697640087193,12.4831958147139,-1.24716637983651
2076,10.8322162018529,12.5063135313352,-1.26363509553134
2077,10.7946683949864,12.5294312479564,-1.28010381122616
2078,10.7571205881199,12.5525489645777,-1.29657252692098
2079,10.7195727812534,12.5756666811989,-1.3130412426158
2080,10.6820249743869,12.5987843978202,-1.32950995831063
2081,10.5080154718256,12.5541152784741,-1.22508188506812
2082,10.3340059692643,12.5094461591281,-1.12065381182561
2083,10.159996466703,12.464777039782,-1.01622573858311
2084,9.98598696414169,12.420107920436,-0.911797665340599
2085,9.81197746158038,12.3754388010899,-0.807369592098093
2086,9.67475583847411,12.3185092517711,-0.800360511389646
2087,9.53753421536785,12.2615797024523,-0.793351430681199
2088,9.40031259226158,12.2046501531335,-0.786342349972752
2089,9.26309096915531,12.1477206038147,-0.779333269264305
2090,9.12586934604905,12.0907910544959,-0.772324188555858
2091,8.96559758474115,12.0209919040872,-0.738338108773842
2092,8.80532582343324,11.9511927536785,-0.704352028991826
2093,8.64505406212534,11.8813936032698,-0.670365949209809
2094,8.48478230081744,11.811594452861,-0.636379869427793
2095,8.32451053950954,11.7417953024523,-0.602393789645777
2096,8.10277493896458,11.5912029019074,-0.588425632697548
2097,7.88103933841962,11.4406105013624,-0.574457475749319
2098,7.65930373787466,11.2900181008174,-0.56048931880109
2099,7.4375681373297,11.1394257002725,-0.546521161852861
2100,7.21583253678474,10.9888332997275,-0.532553004904632
